STAFF_REGION,RN_REGION,LEAD_INVESTIGATOR,RN,INVEST_NUM,STATUS_DT,START_DT,END_DT,EQUIP_CATGRY,EQUIP_CAT_DESC,CHECKLIST_NAME,CL_CHK_ITM_COMMENT
REGION 04,R04DFW,RPUGH,RN105670764,1146430, 07/24/2014, 01/07/2014, 01/07/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN105858369,1184547, 07/24/2014, 06/11/2014, 06/11/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN105945133,1184544, 07/24/2014, 06/11/2014, 06/11/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 16,R16LARE,PALFORD,RN106106719,1179949, 07/24/2014, 06/05/2014, 06/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN104475165,1171348, 07/23/2014, 05/22/2014, 05/22/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN106045305,1184513, 07/23/2014, 06/05/2014, 06/12/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN105858369,1184528, 07/22/2014, 05/30/2014, 05/30/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106934607,1174139, 07/22/2014, 05/13/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MLECOUR,RN107509325,1183509, 07/22/2014, 06/17/2014, 06/17/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106045305,1145587, 07/22/2014, 10/10/2013, 10/10/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106449499,1160078, 07/22/2014, 10/22/2012, 10/22/2012,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,VWANG,RN100238385,1152499, 07/22/2014, 05/15/2014, 05/27/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R13SANT,JSEILER,RN107108128,1157172, 07/21/2014, 12/20/2013, 06/13/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN106581218,1178247, 07/21/2014, 04/29/2014, 04/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106851363,1157966, 07/21/2014, 02/26/2014, 02/26/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MLECOUR,RN107508541,1183809, 07/21/2014, 06/17/2014, 06/17/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MLECOUR,RN107509127,1183614, 07/21/2014, 06/17/2014, 06/17/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,BBECK,RN106278799,1179246, 07/21/2014, 06/13/2014, 06/13/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,JMONTOYA,RN100219443,1170659, 07/21/2014, 05/20/2014, 05/20/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"The IR camera was utilized at the time of the on-site investigation.  No hydrocarbon plume was observed being emitted from three stacks at the facility (EPNs S1, S2, and S3).  Note:  The investigation pertained to an announced and scheduled investigation (SFCI)."
REGION 04,R04DFW,JMALIK,RN106436504,1179156, 07/18/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN106485436,1173696, 07/18/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,JMALIK,RN106497134,1179360, 07/18/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,EOBOT,RN100214485,1152589, 07/18/2014, 04/23/2014, 04/23/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,GILOPEZ,RN106870611,1177392, 07/17/2014, 05/29/2014, 05/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,GILOPEZ,RN107233504,1177388, 07/17/2014, 05/29/2014, 05/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,GILOPEZ,RN107387151,1177349, 07/17/2014, 05/29/2014, 05/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,GILOPEZ,RN107387185,1177391, 07/17/2014, 05/29/2014, 05/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,LPAKEBUS,RN105929772,802771, 07/17/2014, 05/03/2010, 05/03/2010,OGIC,OGIC#GAS FindIR,EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,LPAKEBUS,RN105929806,802677, 07/17/2014, 05/03/2010, 05/03/2010,OGIC,OGIC#GAS FindIR,EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,BBECK,RN107116956,1178942, 07/17/2014, 06/13/2014, 06/13/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,Jeff Seiler
CO,R13SANT,JSEILER,RN107119216,1165839, 07/16/2014, 05/02/2014, 06/13/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 01,R01AMA,RICSMITH,RN100209659,1172772, 07/16/2014, 06/17/2014, 06/18/2014,OGIC,OGIC#GAS FindIR,EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100666916,1179923, 07/16/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,SZARUBA,RN106555832,1183467, 07/16/2014, 01/03/2014, 07/14/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"Stephanie Zaruba, Carl Ortmann, Tony Zamora, Jose Ojeda"
REGION 04,R04DFW,MAVAUGHA,RN104038153,1173799, 07/15/2014, 05/10/2014, 05/10/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN104658273,1171317, 07/15/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,SDEBCHOU,RN102414232,1134469, 07/15/2014, 06/03/2014, 06/27/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,BBECK,RN106678394,1166528, 07/15/2014, 01/13/2014, 05/09/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MLECOUR,RN107049918,1172759, 07/14/2014, 05/22/2014, 05/22/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN105295604,1171327, 07/14/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN106430408,1132710, 07/14/2014, 09/20/2013, 09/20/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN106594997,1171333, 07/14/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,EOBOT,RN100825371,1134505, 07/14/2014, 02/07/2014, 02/07/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100212216,1179900, 07/14/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100216761,1179711, 07/14/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN105147433,1179741, 07/14/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 14,R14CORP,CYSMITH,RN106568397,1179390, 07/14/2014, 07/02/2014, 07/08/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,ATANADA,RN106364466,1172788, 07/12/2014, 06/05/2014, 06/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no visible emissions
REGION 04,R04DFW,ATANADA,RN106364524,1172801, 07/12/2014, 06/05/2014, 06/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no visible emissions
REGION 04,R04DFW,RPUGH,RN104995089,1132686, 07/12/2014, 09/20/2013, 09/20/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN106430390,1132696, 07/12/2014, 09/20/2013, 09/20/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106360894,1170732, 07/12/2014, 03/31/2014, 03/31/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106377369,1157728, 07/12/2014, 12/19/2013, 12/19/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106449499,1160077, 07/12/2014, 06/21/2013, 06/21/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN106735350,1170782, 07/12/2014, 03/31/2014, 03/31/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN104200878,1145844, 07/11/2014, 11/14/2013, 11/14/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN106873037,1114160, 07/11/2014, 06/27/2013, 06/27/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RAJACKSO,RN104475165,1171708, 07/11/2014, 05/22/2014, 05/22/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no abnormal VE
REGION 04,R04DFW,RAJACKSO,RN104963806,1178183, 07/11/2014, 06/09/2014, 06/09/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,Normal emissions from site. Light emissions detected travelling offsite from reheater.
REGION 04,R04DFW,RAJACKSO,RN105334254,1171693, 07/11/2014, 05/14/2014, 05/14/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,light and constant from enardo valve on wastewater tank.
REGION 04,R04DFW,RAJACKSO,RN106952237,1171701, 07/11/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,normal emissions were detected from the compressor engine on site.
REGION 12,R12HOUS,GACKERMA,RN100888312,1152583, 07/11/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN100223619,1152354, 07/10/2014, 02/18/2014, 02/19/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN106305840,1178851, 07/10/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN106638687,1178718, 07/10/2014, 05/28/2014, 05/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN107363947,1179329, 07/10/2014, 06/02/2014, 06/02/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN107363947,1179592, 07/10/2014, 06/18/2014, 06/18/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RAJACKSO,RN105934699,1173072, 07/09/2014, 06/07/2014, 06/07/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,No abnormal emissions detected.
REGION 04,R04DFW,RAJACKSO,RN106218753,1171692, 07/09/2014, 05/14/2014, 05/14/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,detected leak from off-site pipeline.
REGION 04,R04DFW,RAJACKSO,RN106218761,1171688, 07/09/2014, 05/14/2014, 05/14/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,normal emissions
REGION 04,R04DFW,RAJACKSO,RN106364433,1172779, 07/09/2014, 06/05/2014, 06/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,none detected.
REGION 04,R04DFW,RAJACKSO,RN106373293,1172784, 07/09/2014, 06/05/2014, 06/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no emissions detected
REGION 04,R04DFW,RPUGH,RN106888126,1123156, 07/08/2014, 09/04/2013, 09/04/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN106888191,1123153, 07/08/2014, 09/04/2013, 09/04/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,CBRINLY,RN106018260,1163449, 07/08/2014, 04/11/2014, 06/13/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,PBRANDES,RN104262704,1172241, 07/08/2014, 06/26/2014, 06/27/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 16,R16LARE,PALFORD,RN106041007,1177381, 07/08/2014, 05/16/2014, 05/22/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R11AUST,RSTANUSH,RN107294530,1166372, 07/07/2014, 05/08/2014, 05/08/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN105234728,1171609, 07/03/2014, 05/10/2014, 05/10/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN104038021,1171290, 07/03/2014, 05/05/2014, 05/05/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100210830,1178350, 07/03/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN101211498,1177985, 07/03/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN101517852,1178015, 07/03/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN105640742,1134234, 07/02/2014, 11/26/2013, 11/26/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RPUGH,RN107274326,1171278, 07/02/2014, 05/03/2014, 05/03/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 13,R13SANT,JOJEDA,RN104049721,1165310, 07/02/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,JOSE L. OJEDA
REGION 13,R13SANT,JOJEDA,RN105001671,1171151, 07/02/2014, 05/27/2014, 05/27/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"JOSE L. OJEDA
ANTONIO ZAMORA"
REGION 04,R04DFW,MLECOUR,RN107262776,1170779, 07/01/2014, 05/02/2014, 05/02/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 05,R05TYLR,DCRANDAL,RN102176377,1173282, 07/01/2014, 06/11/2014, 06/11/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 05,R05TYLR,DCRANDAL,RN102176377,1177657, 07/01/2014, 06/18/2014, 06/18/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN107169328,1158452, 06/30/2014, 02/26/2014, 02/26/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RAJACKSO,RN106189772,1165506, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no VE
REGION 04,R04DFW,RAJACKSO,RN106189822,1165507, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no VE detected
REGION 04,R04DFW,RAJACKSO,RN106192107,1165509, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no VE detected
REGION 04,R04DFW,RAJACKSO,RN106462856,1165508, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no abnormal VE
REGION 04,R04DFW,RAJACKSO,RN106467673,1165505, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,emissions detected from regulator and penumatic valve.
REGION 04,R04DFW,RAJACKSO,RN106471550,1165515, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no VE detected
REGION 04,R04DFW,RPUGH,RN106155773,1171253, 06/30/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN105996813,1150613, 06/30/2014, 12/20/2013, 12/20/2013,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,SASLACK,RN107488926,1159185, 06/30/2014, 02/04/2014, 02/04/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,ATANADA,RN104039169,1166303, 06/28/2014, 04/30/2014, 04/30/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no visible emissions
REGION 04,R04DFW,ATANADA,RN105210827,1166058, 06/28/2014, 04/30/2014, 04/30/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,normal operations
REGION 04,R04DFW,ATANADA,RN105227763,1171139, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106186752,1166645, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106187248,1166643, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106189830,1166647, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106463771,1166648, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106471584,1166649, 06/28/2014, 05/01/2014, 05/01/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,MAVAUGHA,RN106616816,1172320, 06/27/2014, 04/28/2014, 04/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 04,R04DFW,RAJACKSO,RN106320773,1164892, 06/27/2014, 04/28/2014, 04/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,"VE noted from three thief hatches, open vent line, 1H separator and 2H wellhead."
REGION 04,R04DFW,RAJACKSO,RN106517311,1164898, 06/27/2014, 04/28/2014, 04/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no emissions detected
REGION 04,R04DFW,RAJACKSO,RN106575889,1164901, 06/27/2014, 04/28/2014, 04/28/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,no abnormal VE detected
REGION 12,R12HOUS,AAGHEDO,RN102886819,1159205, 06/25/2014, 04/28/2014, 04/29/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,MDEDEKE,RN104046065,1166965, 06/25/2014, 05/09/2014, 05/09/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100219096,1177201, 06/25/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN100227016,1173071, 06/25/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
REGION 12,R12HOUS,TVASUT,RN102503042,1173074, 06/25/2014, 05/15/2014, 05/15/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN105031173,1173386, 06/24/2014, 04/30/2014, 04/30/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
CO,R04DFW,AHOUSTON,RN106937071,1173468, 06/24/2014, 04/30/2014, 04/30/2014,OGIC,OGIC#GAS FindIR,AIR INVESTIGATION - EQUIPMENT MONITORING AND SAMPLING revised 06/2013,
